23:50:16: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:17: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 0.0, 1.0, 0.1
23:50:17: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:17: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 0.0, 1.9047619047619047, 0.09523809523809523
23:50:17: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:18: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 0.0, 2.727272727272727, 0.09090909090909091
23:50:18: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:18: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 0.8695652173913043, 2.608695652173913, 0.08695652173913043
23:50:18: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:19: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 1.6666666666666667, 2.5, 0.08333333333333333
23:50:19: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:19: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 2.4, 2.4, 0.08
23:50:19: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:20: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 2.3076923076923075, 1.5384615384615385, 0.07692307692307693
23:50:20: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:20: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 2.2222222222222223, 0.7407407407407407, 0.07407407407407407
23:50:20: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:21: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 2.142857142857143, 0.0, 0.07142857142857142
23:50:21: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:21: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 1.3793103448275863, 0.0, 0.06896551724137931
23:50:21: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:22: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 0.6666666666666666, 0.0, 0.06666666666666667
23:50:22: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:22: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average Velocity: 0.0, 0.0, 0.06451612903225806
23:50:22: [INFO] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] Yaw changed
23:50:23: [WARNING] [C:\Users\Steal\projects\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 76] No telemetry data received
